title;item_type;rank
Kuusiston kirkon lukkarin talo;kiinteisto;0.075990885
Turun Pyhän Aleksandran  kirkko (Ortodoksinen kirkko);kiinteisto;0.075990885
Birgitan ja autuaan Hemmingin kirkko (roomalaiskatolinen kirkko);kiinteisto;0.075990885
Uudenkaupungin vanha kirkko;kiinteisto;0.075990885
MAP-kirkko (Myöhempien Aikojen Pyhien Jeesuksen Kristuksen Kirkko);kiinteisto;0.075990885
TMK21538:251;loyto;0.075990885
Somerniemen kirkko;kiinteisto;0.06079271
Kirkko;kiinteisto;0.06079271
SANKT JAKOB (Jaakobin kirkko, Jaakoppi);kiinteisto;0.06079271
Mynämäen kirkko (Mynämäen hautausmaa);kiinteisto;0.06079271
Kirkko;kiinteisto;0.06079271
Kirkko -POISTA-;kiinteisto;0.06079271
Untamalan kyläkirkko (kirkko);kiinteisto;0.06079271
Kirkko;kiinteisto;0.06079271
Yläneen Kirkko;kiinteisto;0.06079271
Kakskerran kirkko (ent. Kirkkomaa);kiinteisto;0.06079271
Halikon kirkko;kiinteisto;0.06079271
Pyhämaan kirkko;kiinteisto;0.06079271
Kirkonmaa, Lokalahden kirkko;kiinteisto;0.06079271
Keskiaikaisen kirkon paikka (Ravea);kiinteisto;0.06079271
